model,problem_class,acc
deepseek-chat,logic,0.44
deepseek-chat,one_rule,0.8703703703703703
deepseek-chat,three_rule,0.7
deepseek-chat,two_rule,0.85
deepseek-reasoner,logic,0.72
deepseek-reasoner,one_rule,1.0
deepseek-reasoner,three_rule,0.94
deepseek-reasoner,two_rule,0.9833333333333333
gpt-3.5-turbo-instruct,logic,0.22
gpt-3.5-turbo-instruct,one_rule,0.24074074074074073
gpt-3.5-turbo-instruct,three_rule,0.01
gpt-3.5-turbo-instruct,two_rule,0.016666666666666666
gpt-4.1,logic,0.81
gpt-4.1,one_rule,1.0
gpt-4.1,three_rule,0.7
gpt-4.1,two_rule,0.8666666666666667
gpt-4.1-mini,logic,0.69
gpt-4.1-mini,one_rule,0.8518518518518519
gpt-4.1-mini,three_rule,0.62
gpt-4.1-mini,two_rule,0.8
gpt-4.1-nano,logic,0.33
gpt-4.1-nano,one_rule,0.4444444444444444
gpt-4.1-nano,three_rule,0.42
gpt-4.1-nano,two_rule,0.6666666666666666
gpt-4o,logic,0.63
gpt-4o,one_rule,0.7592592592592593
gpt-4o,three_rule,0.69
gpt-4o,two_rule,0.9
gpt-4o-mini,logic,0.37
gpt-4o-mini,one_rule,0.6481481481481481
gpt-4o-mini,three_rule,0.49
gpt-4o-mini,two_rule,0.6333333333333333
gpt-5,logic,0.85
gpt-5,one_rule,1.0
gpt-5,three_rule,0.97
gpt-5,two_rule,0.9833333333333333
gpt-5-mini,logic,0.87
gpt-5-mini,one_rule,1.0
gpt-5-mini,three_rule,0.97
gpt-5-mini,two_rule,0.9833333333333333
gpt-5-nano,logic,0.72
gpt-5-nano,one_rule,1.0
gpt-5-nano,three_rule,0.76
gpt-5-nano,two_rule,0.9
o3-mini,logic,0.84
o3-mini,one_rule,1.0
o3-mini,three_rule,1.0
o3-mini,two_rule,1.0
o4-mini,logic,0.89
o4-mini,one_rule,1.0
o4-mini,three_rule,0.96
o4-mini,two_rule,0.9333333333333333
