model,n,k,acc,ci_lo,ci_hi
deepseek-chat,314,212,0.6751592356687898,0.6215126714135449,0.7245716674521038
deepseek-reasoner,314,279,0.8885350318471338,0.8489232602697973,0.9187547277594602
gpt-3.5-turbo-instruct,314,37,0.1178343949044586,0.08670819511302039,0.15819870190738225
gpt-4.1,314,257,0.8184713375796179,0.7720711703783049,0.8571730821046931
gpt-4.1-mini,314,225,0.7165605095541401,0.6643281011003602,0.7635579905880782
gpt-4.1-nano,314,139,0.4426751592356688,0.3887567274563522,0.4979793070967082
gpt-4o,314,227,0.7229299363057324,0.6709585379438966,0.7695124387942017
gpt-4o-mini,314,159,0.5063694267515924,0.4513274856741134,0.5612573993755465
gpt-5,314,295,0.9394904458598726,0.9074332002682532,0.9609238681582839
gpt-5-mini,314,297,0.945859872611465,0.9150155515493159,0.9659264019268812
gpt-5-nano,314,256,0.8152866242038217,0.7686426972860221,0.8543091126721458
o3-mini,314,298,0.9490445859872612,0.9188392188803208,0.9683951771207061
o4-mini,314,295,0.9394904458598726,0.9074332002682532,0.9609238681582839
