model,task,acc
deepseek-chat,verbal_kmiecik,0.75625
deepseek-chat,verbal_sternberg,0.8781725888324873
deepseek-chat,verbal_ucla_vat,0.95
deepseek-reasoner,verbal_kmiecik,0.825
deepseek-reasoner,verbal_sternberg,0.9543147208121827
deepseek-reasoner,verbal_ucla_vat,0.9875
gpt-3.5-turbo-instruct,verbal_kmiecik,0.575
gpt-3.5-turbo-instruct,verbal_sternberg,0.6852791878172588
gpt-3.5-turbo-instruct,verbal_ucla_vat,0.6875
gpt-4.1,verbal_kmiecik,0.73125
gpt-4.1,verbal_sternberg,0.9441624365482234
gpt-4.1,verbal_ucla_vat,0.9875
gpt-4.1-mini,verbal_kmiecik,0.7125
gpt-4.1-mini,verbal_sternberg,0.9137055837563451
gpt-4.1-mini,verbal_ucla_vat,0.95
gpt-4.1-nano,verbal_kmiecik,0.6375
gpt-4.1-nano,verbal_sternberg,0.7868020304568528
gpt-4.1-nano,verbal_ucla_vat,0.85
gpt-4o,verbal_kmiecik,0.76875
gpt-4o,verbal_sternberg,0.9238578680203046
gpt-4o,verbal_ucla_vat,0.9625
gpt-4o-mini,verbal_kmiecik,0.71875
gpt-4o-mini,verbal_sternberg,0.8426395939086294
gpt-4o-mini,verbal_ucla_vat,0.95
gpt-5,verbal_kmiecik,0.825
gpt-5,verbal_sternberg,0.9746192893401016
gpt-5,verbal_ucla_vat,0.975
gpt-5-mini,verbal_kmiecik,0.85
gpt-5-mini,verbal_sternberg,0.9644670050761421
gpt-5-mini,verbal_ucla_vat,0.975
gpt-5-nano,verbal_kmiecik,0.8375
gpt-5-nano,verbal_sternberg,0.9137055837563451
gpt-5-nano,verbal_ucla_vat,0.9625
o3-mini,verbal_kmiecik,0.71875
o3-mini,verbal_sternberg,0.9187817258883249
o3-mini,verbal_ucla_vat,0.9875
o4-mini,verbal_kmiecik,0.8375
o4-mini,verbal_sternberg,0.9441624365482234
o4-mini,verbal_ucla_vat,0.9875
