model,condition,acc,lenient_acc,commit_rate
deepseek-chat,analogy,0.2777777777777778,0.5416666666666666,0.4722222222222222
deepseek-chat,similarity,0.2222222222222222,0.5138888888888888,0.4166666666666667
deepseek-reasoner,analogy,0.2777777777777778,0.6388888888888888,0.2777777777777778
deepseek-reasoner,similarity,0.4444444444444444,0.7222222222222222,0.4444444444444444
gpt-3.5-turbo-instruct,analogy,0.0,0.5,0.0
gpt-3.5-turbo-instruct,similarity,0.0,0.5,0.0
gpt-4.1,analogy,0.1111111111111111,0.5,0.2222222222222222
gpt-4.1,similarity,0.1388888888888889,0.5694444444444444,0.1388888888888889
gpt-4.1-mini,analogy,0.1111111111111111,0.5,0.2222222222222222
gpt-4.1-mini,similarity,0.1111111111111111,0.4722222222222222,0.2777777777777778
gpt-4.1-nano,analogy,0.08333333333333333,0.5,0.16666666666666666
gpt-4.1-nano,similarity,0.1111111111111111,0.4861111111111111,0.25
gpt-4o,analogy,0.027777777777777776,0.5138888888888888,0.027777777777777776
gpt-4o,similarity,0.0,0.5,0.0
gpt-4o-mini,analogy,0.3888888888888889,0.6527777777777778,0.4722222222222222
gpt-4o-mini,similarity,0.2777777777777778,0.6111111111111112,0.3333333333333333
gpt-5,analogy,0.75,0.875,0.75
gpt-5,similarity,0.7777777777777778,0.8888888888888888,0.7777777777777778
gpt-5-mini,analogy,0.7222222222222222,0.8611111111111112,0.7222222222222222
gpt-5-mini,similarity,0.8055555555555556,0.9027777777777778,0.8055555555555556
gpt-5-nano,analogy,0.3611111111111111,0.5555555555555556,0.6111111111111112
gpt-5-nano,similarity,0.3055555555555556,0.5972222222222222,0.4166666666666667
o3-mini,analogy,0.3611111111111111,0.6111111111111112,0.5
o3-mini,similarity,0.5277777777777778,0.6666666666666666,0.7222222222222222
o4-mini,analogy,0.2777777777777778,0.625,0.3055555555555556
o4-mini,similarity,0.3888888888888889,0.6944444444444444,0.3888888888888889
